Company,Job Title,Status,Date Applied,Closing Date,Interest Level,Interview Date,Interview Stage,Notes
SilverLining Health,Health Consultant,Applied,2024-07-08,2024-07-14,Low,,,"Entry level position"
BetterHealth Pharma,Clinical Research Coordinator,2nd Interview,2024-07-01,2024-07-15,High,2024-07-10,2nd Interview,"Great company culture"
RapidTransit Solutions,Transport Planner,Applied,2024-07-10,2024-07-17,Medium,,,"Remote work available"
Horizon Builders,Civil Engineer,2nd Interview,2024-06-25,,High,2024-07-07,2nd Interview,"Excellent benefits"
InnovateTech Systems,IT Support Specialist,1st Interview,2024-07-05,2024-07-20,Medium,2024-07-09,1st Interview,"Good starting salary"
UrbanVerse Media,Graphic Designer,2nd Interview,2024-07-02,,High,2024-07-09,2nd Interview,"Creative environment"
DigiSphere Productions,Video Producer,1st Interview,2024-07-03,2024-07-25,High,2024-07-11,1st Interview,"Exciting projects"
EcoWorks Ltd.,Environmental Engineer,3rd Interview,2024-06-20,,High,2024-07-08,3rd Interview,"Sustainability focus"
FreshFields Grocers,Retail Manager,2nd Interview,2024-07-01,2024-07-18,Medium,2024-07-10,2nd Interview,"Local position"
TechNova Inc.,Software Developer,Applied,2024-07-12,2024-07-30,High,,,"Dream company"
GlobalFinance Corp,Financial Analyst,Applied,2024-07-11,2024-07-28,Medium,,,"Good career growth"
HealthFirst Clinic,Practice Manager,Rejected,2024-06-15,2024-06-30,Low,,,"Not selected"
CloudSync Technologies,Cloud Architect,Offer Received,2024-06-10,,High,,,"Great offer received"
MarketPro Agency,Marketing Manager,Applied,2024-07-09,2024-07-22,Medium,,,"Creative role"
DataDriven Analytics,Data Scientist,1st Interview,2024-07-06,2024-07-25,High,2024-07-12,1st Interview,"Cutting edge work"
SecureNet Systems,Cybersecurity Analyst,Applied,2024-07-10,2024-07-27,High,,,"Growing field"
GreenEnergy Solutions,Project Manager,Rejected,2024-06-18,2024-07-01,Medium,,,"Position filled"
BlueSky Aviation,Operations Coordinator,Not Yet Applied,,2024-07-20,Low,,,"Need to review requirements"
PrimeConsulting Group,Business Analyst,Applied,2024-07-08,2024-07-21,Medium,,,"Interesting projects"
QuantumLabs Research,Research Scientist,Not Yet Applied,,2024-07-25,High,,,"Requires PhD - need to check"
